标题,售价,单价,小区,区域,户型,面积,朝向,装修,楼层,楼层类型,楼层数,建筑结构,年份,详情页,面积数值,楼层数值,房间数,厅数,每房间价格,每平米房间数,是否南北通透,楼层类型编码,装修编码,cluster
带大露台 实木家具精装大三房 拎包入住 配套齐全,113.8,9032,珠江花城四期 ,福元西路,3室2厅,126平米,南,简装,低楼层(共32层),低,32,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104113867630.html,126.0,32.0,3.0,2.0,37.93333333333333,0.023809523809523808,0,0.0,1,3
自住装修，交通方便，读书方便，看房方便,138.0,14565,中国铁建梅溪青秀二期 ,梅溪湖北岸,3室2厅,94.75平米,南,其他,中楼层(共27层),中,27,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115050645.html,94.75,27.0,3.0,2.0,46.0,0.0316622691292876,0,1.0,1,1
光明の城二期 4房装修好 随时可看房 中间楼层,125.0,10264,光明E城 ,观沙岭,4室1厅,121.79平米,南 北,简装,中楼层(共32层) ,中,32,板楼,unknown,https://cs.lianjia.com/ershoufang/104114674262.html,121.79,32.0,4.0,1.0,31.25,0.03284341899991789,1,1.0,1,4
梅溪湖，一线湖景，楼下地铁口，梅溪湖公园，万科物业,255.0,15371,天祥水晶湾 ,梅溪湖北岸,4室2厅,165.9平米,南 北,毛坯,高楼层(共49层),高,49,板楼,2017年,https://cs.lianjia.com/ershoufang/104112186320.html,165.9,49.0,4.0,2.0,63.75,0.02411091018685955,1,2.0,0,2
毛坯两房 次新小区 人车分流 视野开阔,42.8,4378,湘预家园 ,泉塘,2室2厅,97.78平米,南 北,其他,中楼层(共30层),中,30,板塔结合,2019年,https://cs.lianjia.com/ershoufang/104113480062.html,97.78,30.0,2.0,2.0,21.4,0.020454080589077522,1,1.0,1,4
万科品质好房，诚心出售，中间楼层，视野好,56.8,7829,万科金色梦想 ,东方红,4室2厅,72.56平米,南,精装,高楼层(共22层),高,22,塔楼,2019年,https://cs.lianjia.com/ershoufang/104113389426.html,72.56,22.0,4.0,2.0,14.2,0.05512679162072767,0,2.0,2,1
正规两房，近地铁七号线，天虹商场，满五唯一,39.8,6610,中豪城南时代 ,德思勤,2室1厅,60.22平米,南,简装,高楼层(共30层),高,30,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115913067.html,60.22,30.0,2.0,1.0,19.9,0.033211557622052475,0,2.0,1,0
满五唯一，复式两层精装，低首付配套齐全,42.8,6775,梅苑家园 ,喜盈门,3室1厅,63.18平米,南,精装,高楼层(共6层),高,6,板楼,2008年,https://cs.lianjia.com/ershoufang/104116228932.html,63.18,6.0,3.0,1.0,14.266666666666666,0.04748338081671415,0,2.0,2,0
珠江花城一期小高层 中高楼层 视野开阔 居住舒适度高,68.0,8108,珠江花城一期 ,福元西路,2室1厅,83.87平米,南 西,精装,高楼层(共18层),高,18,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104111197079.html,83.87,18.0,2.0,1.0,34.0,0.023846428997257658,0,2.0,2,0
南北向 精装三居 业主诚意出售,89.0,8202,世纪城融江苑 ,湘江世纪城,3室2厅,108.52平米,南 北,简装,低楼层(共33层),低,33,塔楼,2010年,https://cs.lianjia.com/ershoufang/104115236591.html,108.52,33.0,3.0,2.0,29.666666666666668,0.027644673792849246,1,0.0,1,4
地铁口 月亮岛 采光好 户型周正 得房率高 房产证在手,67.8,7359,勤诚达境界城 ,金星北,3室2厅,92.14平米,南,毛坯,中楼层(共34层),中,34,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104111430831.html,92.14,34.0,3.0,2.0,22.599999999999998,0.03255914912090297,0,1.0,0,2
二环内 涂家冲地铁口 2018年次新小区 带燃气 上砂子塘,38.9,8350,第六都 ,雨花亭,1室1厅,46.59平米,南,毛坯,高楼层(共31层),高,31,板楼,2017年,https://cs.lianjia.com/ershoufang/104114385862.html,46.59,31.0,1.0,1.0,38.9,0.0214638334406525,0,2.0,0,0
业主诚心出售青秀好房，满五年，精装修保养好,89.8,11316,中国铁建梅溪青秀一期 ,梅溪湖北岸,2室2厅,79.36平米,东南,精装,33层,3,33,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115860676.html,79.36,33.0,2.0,2.0,44.9,0.02520161290322581,0,,2,1
精装未住过，楼层采光好，无抵押，拎包入住,232.0,17960,江悦和鸣 ,省政府,4室2厅,129.18平米,南,精装,高楼层(共17层) ,高,17,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104114973236.html,129.18,17.0,4.0,2.0,58.0,0.030964545595293387,0,2.0,2,1
昌和商业中心精装三房，满五唯一，买房有车位,56.8,4937,昌和商业中心 ,泉塘,3室2厅,115.06平米,南,精装,低楼层(共28层) ,低,28,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113029611.html,115.06,28.0,3.0,2.0,18.933333333333334,0.026073353033200068,0,0.0,2,3
视野开阔，朝南向一房，无遮挡，住宅性质,32.0,7112,蓝山郡 ,开元路,1室1厅,45平米,南,其他,中楼层(共27层),中,27,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115596650.html,45.0,27.0,1.0,1.0,32.0,0.022222222222222223,0,1.0,1,0
此房22年下证次新小区，30W精装修，七号线地铁口,108.0,11643,华银南苑融域 ,铁道学院,2室2厅,92.76平米,南,其他,中楼层(共29层) ,中,29,塔楼,unknown,https://cs.lianjia.com/ershoufang/104116080462.html,92.76,29.0,2.0,2.0,54.0,0.021561017680034496,0,1.0,1,1
万家丽三地铁口 朝南的电梯三房 中高层 采光好,93.0,7680,新世纪家园 ,芙蓉区政府,3室2厅,121.1平米,南,简装,高楼层(共10层),高,10,板楼,2002年,https://cs.lianjia.com/ershoufang/104115411892.html,121.1,10.0,3.0,2.0,31.0,0.02477291494632535,0,2.0,1,1
16年次新小区，户型周正 纯毛坯 采光好 视野开阔,76.0,8445,南城印象 ,喜盈门,3室2厅,90平米,南,其他,高楼层(共32层),高,32,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104115071791.html,90.0,32.0,3.0,2.0,25.333333333333332,0.03333333333333333,0,2.0,1,1
急售精装大3房2厅一卫，拎包入住,62.8,5268,长房星珑湾 ,望城区,3室2厅,119.23平米,南,精装,中楼层(共34层) ,中,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116214583.html,119.23,34.0,3.0,2.0,20.933333333333334,0.025161452654533255,0,1.0,2,1
公园旁 地铁六号线，单位房，有门卫院子，小区环境好,82.8,10443,省体育局家属区 ,烈士公园,3室1厅,79.29平米,南 北,其他,中楼层(共6层) ,中,6,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115503800.html,79.29,6.0,3.0,1.0,27.599999999999998,0.03783579265985622,1,1.0,1,4
业主自住的精装两房，次新小区，环境好，紧靠捞刀河,72.0,9492,珠江郦城薰衣道 ,福元西路,2室2厅,75.86平米,南,精装,低楼层(共18层),低,18,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104116097968.html,75.86,18.0,2.0,2.0,36.0,0.026364355391510677,0,0.0,2,3
海伦春天.三房两厅两卫.近地铁.近永旺,81.0,6775,海伦堡海伦春天 ,开元路,3室2厅,119.57平米,南,精装,高楼层(共32层),高,32,板楼,2014年,https://cs.lianjia.com/ershoufang/104114724083.html,119.57,32.0,3.0,2.0,27.0,0.025089905494689306,0,2.0,2,1
保利A7栋一线江景房，自住精装修，满五可省税,269.8,19852,保利西海岸 ,银盆岭,4室2厅,135.91平米,南,精装,中楼层(共46层),中,46,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104114433663.html,135.91,46.0,4.0,2.0,67.45,0.02943124126260025,0,1.0,2,1
南北通透，精装大三房，装修保养好，诚心出售,88.0,7327,丰源国际 ,万家丽北,3室2厅,120.12平米,南 北,精装,低楼层(共18层),低,18,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104116205919.html,120.12,18.0,3.0,2.0,29.333333333333332,0.024975024975024972,1,0.0,2,4
西城龙庭 市府 博才旁 地铁口 满五唯一 大四房,120.0,8899,西城龙庭 ,河西步步高,4室2厅,134.85平米,西南,精装,中楼层(共28层),中,28,板塔结合,2010年,https://cs.lianjia.com/ershoufang/104113786064.html,134.85,28.0,4.0,2.0,30.0,0.029662588060808306,0,1.0,2,1
龙湖品质 纯板楼 次新小区 精装修四房 业主诚心出售,175.0,12191,龙湖江与城 ,岳麓其他,4室2厅,143.55平米,南 北,简装,高楼层(共16层),高,16,暂无数据,2024年,https://cs.lianjia.com/ershoufang/104115349372.html,143.55,16.0,4.0,2.0,43.75,0.027864855451062345,1,2.0,1,4
次新楼盘，长郡双语，明昇精装3房，朝南户型,142.8,12965,明昇壹城 ,武广新城,3室2厅,110.15平米,南,精装,高楼层(共33层) ,高,33,板楼,unknown,https://cs.lianjia.com/ershoufang/104114163674.html,110.15,33.0,3.0,2.0,47.6,0.027235587834770765,0,2.0,2,1
绿地香树花城，人车分流，视野开阔，采光好,27.8,3519,绿地香树花城 ,望城区,2室1厅,79平米,南,其他,高楼层(共34层),高,34,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104116063733.html,79.0,34.0,2.0,1.0,13.9,0.02531645569620253,0,2.0,1,0
浏阳河通透电梯两房 2013年的小区 环境好 楼层10多层,69.8,8269,鑫科明珠 ,马王堆,2室2厅,84.42平米,北,精装,34层,3,34,板塔结合,2011年,https://cs.lianjia.com/ershoufang/104109992058.html,84.42,34.0,2.0,2.0,34.9,0.02369106846718787,0,,2,1
业主急售，急售，急售，有空间可谈,21.0,5015,裕天国际商汇中心 ,德思勤,2室1厅,41.88平米,南,毛坯,中楼层(共18层) ,中,18,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116243499.html,41.88,18.0,2.0,1.0,10.5,0.04775549188156638,0,1.0,0,0
梅二 交通便利 大三房两厅，总价低，单价更低,47.0,3762,雷锋机电建材批发市场 ,雷锋镇,3室2厅,124.95平米,南,简装,5层 ,5,5,平房,unknown,https://cs.lianjia.com/ershoufang/104114041204.html,124.95,5.0,3.0,2.0,15.666666666666666,0.024009603841536616,0,,1,3
和悦城 3室2厅 东南 南,65.8,7202,和悦城 ,万家丽北,3室2厅,91.37平米,东南 南,简装,低楼层(共33层),低,33,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104113353793.html,91.37,33.0,3.0,2.0,21.933333333333334,0.03283353398270767,0,0.0,1,3
次新房 铁道边 绿化高 双阳台 南北通 清水,140.0,11382,天鸿中央大院 ,铁道学院,3室2厅,123.01平米,南,毛坯,中楼层(共31层),中,31,板塔结合,2022年,https://cs.lianjia.com/ershoufang/104114207849.html,123.01,31.0,3.0,2.0,46.666666666666664,0.02438826111698236,0,1.0,0,2
丽发新城二期南北朝向四房。9成新，诚心出售,112.0,8648,丽发新城 ,跳马,4室3厅,129.51平米,南 北,精装,中楼层(共20层) ,中,20,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115817480.html,129.51,20.0,4.0,3.0,28.0,0.030885645896069805,1,1.0,2,4
双地铁口次新小区，精装三房，小区花园位置采光好,139.0,13294,中建梅溪湖中心 ,梅溪湖北岸,3室2厅,104.56平米,南,精装,低楼层(共46层) ,低,46,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104112899069.html,104.56,46.0,3.0,2.0,46.333333333333336,0.028691660290742157,0,0.0,2,3
广电单位房 归心苑 简装三房 价格便宜 随时看房,112.0,8877,归心·苑 ,广电,3室2厅,126.18平米,南 北,精装,低楼层(共18层) ,低,18,塔楼,unknown,https://cs.lianjia.com/ershoufang/104113041978.html,126.18,18.0,3.0,2.0,37.333333333333336,0.02377555872563005,1,0.0,2,4
碧桂园精装小三房中间楼层带家具家电,57.0,6378,碧桂园公园壹号 ,暮云,3室2厅,89.38平米,南,精装,中楼层(共18层) ,中,18,塔楼,unknown,https://cs.lianjia.com/ershoufang/104116339655.html,89.38,18.0,3.0,2.0,19.0,0.03356455582904453,0,1.0,2,3
户型周正，大阳台，视野开豁，日光充足,88.9,9989,君悦香邸 ,北辰三角洲,3室1厅,89平米,南,简装,低楼层(共32层),低,32,板塔结合,2010年,https://cs.lianjia.com/ershoufang/104115789665.html,89.0,32.0,3.0,1.0,29.633333333333336,0.033707865168539325,0,0.0,1,3
窑岭 长岭 6.7号线 有小区环境 户型好 随时看 诚心卖,110.0,8629,一心花苑 ,窑岭,3室2厅,127.49平米,南 北,其他,低楼层(共17层),低,17,板塔结合,2002年,https://cs.lianjia.com/ershoufang/104115390486.html,127.49,17.0,3.0,2.0,36.666666666666664,0.023531257353517923,1,0.0,1,4
楼层好，视野开阔，装修保养好， 户型周正,59.8,4744,星城国际 ,泉塘,3室1厅,126.06平米,南,精装,高楼层(共18层),高,18,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104114895969.html,126.06,18.0,3.0,1.0,19.933333333333334,0.023798191337458353,0,2.0,2,1
地铁口复市精装公寓 看房预约 诚心出售,30.8,6253,华润置地广场二期 ,开元路,2室1厅,49.26平米,南,其他,高楼层(共22层),高,22,塔楼,2018年,https://cs.lianjia.com/ershoufang/104115738864.html,49.26,22.0,2.0,1.0,15.4,0.04060089321965083,0,2.0,1,0
标准一房，中间楼层，可拎包入住。,49.5,10184,世纪城悦江苑 ,湘江世纪城,1室1厅,48.61平米,南,精装,中楼层(共25层),中,25,塔楼,2010年,https://cs.lianjia.com/ershoufang/104115407586.html,48.61,25.0,1.0,1.0,49.5,0.020571898786257974,0,1.0,2,0
房子下楼就是双地铁口   看湖。,69.8,8788,恒大雅苑 ,广电,2室2厅,79.43平米,南,其他,低楼层(共32层) ,低,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115566604.html,79.43,32.0,2.0,2.0,34.9,0.025179403248143016,0,0.0,1,3
梅溪湖近地铁 次新盘 清水毛坯四房 业主诚心出售,168.0,13243,振业城锦宸 ,梅溪湖北岸,4室2厅,126.86平米,东南 南,毛坯,高楼层(共33层) ,高,33,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115486393.html,126.86,33.0,4.0,2.0,42.0,0.031530821377896895,0,2.0,0,2
全新装修，品牌家私电器拎包即可入住，安静住家之选。,67.8,5986,中建亮月湖澜苑 ,南站片区,3室1厅,113.28平米,东南,精装,低楼层(共27层) ,低,27,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115809176.html,113.28,27.0,3.0,1.0,22.599999999999998,0.026483050847457626,0,0.0,2,3
临地铁，精装修拎包入住，楼层好，私梯入户。,215.0,14058,恒大御景半岛湘江苑 ,开福区政府,3室2厅,152.94平米,南 北,精装,高楼层(共31层),高,31,塔楼,2018年,https://cs.lianjia.com/ershoufang/104116187021.html,152.94,31.0,3.0,2.0,71.66666666666667,0.019615535504119264,1,2.0,2,4
星语林南壹号次新小区 85平精装小三房 居家装修,53.0,6199,星语林·南壹号 ,暮云,3室2厅,85.5平米,东南,精装,中楼层(共30层),中,30,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115569062.html,85.5,30.0,3.0,2.0,17.666666666666668,0.03508771929824561,0,1.0,2,1
山与墅 1室1厅 南,24.8,5077,山与墅 ,金星北,1室1厅,48.85平米,南,精装,低楼层(共15层) ,低,15,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115810570.html,48.85,15.0,1.0,1.0,24.8,0.020470829068577275,0,0.0,2,0
铁建二期，南北通户型，高楼层，视野好，居家装修,56.8,6805,中国铁建国际城 ,泉塘,3室2厅,83.47平米,南 北,精装,高楼层(共34层),高,34,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104116429749.html,83.47,34.0,3.0,2.0,18.933333333333334,0.03594105666706601,1,2.0,2,4
市府旁板块、自住精装，电梯大两房,84.0,8025,湘卫花苑 ,河西步步高,2室2厅,104.68平米,南 北,简装,中楼层(共7层),中,7,板楼,1999年,https://cs.lianjia.com/ershoufang/104116331664.html,104.68,7.0,2.0,2.0,42.0,0.01910584638899503,1,1.0,1,4
万科里梅溪郡4房2厅 自住精 装修 楼 王栋诚心出售,318.0,23898,万科梅溪郡 ,梅溪湖南岸,4室2厅,133.07平米,南,精装,低楼层(共13层) ,低,13,板楼,unknown,https://cs.lianjia.com/ershoufang/104116333204.html,133.07,13.0,4.0,2.0,79.5,0.030059367250319383,0,0.0,2,3
此房中间楼层采光通风视野俱佳南北对流户型周正,217.0,27871,钰龙天下佳园 ,观沙岭,2室2厅,77.86平米,西南,其他,高楼层(共33层),高,33,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104115285800.html,77.86,33.0,2.0,2.0,108.5,0.025687130747495505,0,2.0,1,1
旭辉御府西区，南北对流，前后双阳台，楼层好价格美丽,128.0,10817,旭辉御府 ,梅溪湖北岸,3室2厅,118.34平米,南 北,简装,中楼层(共32层),中,32,塔楼,2015年,https://cs.lianjia.com/ershoufang/104116297980.html,118.34,32.0,3.0,2.0,42.666666666666664,0.02535068446848065,1,1.0,1,4
"地铁口旁,此新小区,业主诚心出售免个税价格可谈随时看",99.8,8536,碧桂园中央花园 ,开元路,3室1厅,116.92平米,南,精装,低楼层(共32层),低,32,板塔结合,2019年,https://cs.lianjia.com/ershoufang/104116434970.html,116.92,32.0,3.0,1.0,33.266666666666666,0.02565856996236743,0,0.0,2,3
轻轨口 装修正规两房 总价低  楼层好 出行便捷,46.0,6204,小时代 ,河西人人乐,2室2厅,74.15平米,南,其他,中楼层(共27层),中,27,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104116412185.html,74.15,27.0,2.0,2.0,23.0,0.026972353337828724,0,1.0,1,3
浏阳河风光带拎包入住小两房，家电齐全，,70.0,9262,万象凯旋湾 ,晚报,2室2厅,75.58平米,南,精装,低楼层(共27层),低,27,板楼,2012年,https://cs.lianjia.com/ershoufang/104115356017.html,75.58,27.0,2.0,2.0,35.0,0.026462026991267533,0,0.0,2,3
中间楼栋 好楼层 开发商精空装修 业主诚售,248.8,14137,旭辉雨花郡 ,树木岭,4室1厅,176平米,南 北,精装,低楼层(共43层) ,低,43,板楼,unknown,https://cs.lianjia.com/ershoufang/104115361382.html,176.0,43.0,4.0,1.0,62.2,0.022727272727272728,1,0.0,2,4
精装自住两房 材料用的扎实 诚心出售,42.8,5386,中国铁建国际城 ,泉塘,2室2厅,79.48平米,南,其他,低楼层(共34层),低,34,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104116378927.html,79.48,34.0,2.0,2.0,21.4,0.025163563160543533,0,0.0,1,3
滨江渔人码头师大滨江 配套成熟二房 诚意出售,110.0,13432,世茂铂翠湾 ,滨江新城,2室2厅,81.9平米,南,精装,高楼层(共32层) ,高,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116378693.html,81.9,32.0,2.0,2.0,55.0,0.02442002442002442,0,2.0,2,1
万科物业楼层好 视野开阔 万科品质 位置安静,166.0,13182,万科魅力之城 ,武广新城,4室2厅,125.93平米,南,精装,34层 ,3,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115417659.html,125.93,34.0,4.0,2.0,41.5,0.03176367823393949,0,,2,1
青秀三期毛坯三房两卫满五唯一诚心出售,139.8,14650,中国铁建梅溪青秀三期 ,梅溪湖北岸,3室2厅,95.43平米,南,毛坯,低楼层(共34层),低,34,板塔结合,2021年,https://cs.lianjia.com/ershoufang/104115431711.html,95.43,34.0,3.0,2.0,46.6,0.03143665513989311,0,0.0,0,2
6号线地铁口 中间楼层两梯三户小高层 拎包入住,135.0,12082,沁园春御院 ,河西步步高,3室2厅,111.74平米,南,其他,中楼层(共14层),中,14,板塔结合,2011年,https://cs.lianjia.com/ershoufang/104115296210.html,111.74,14.0,3.0,2.0,45.0,0.026848040093073205,0,1.0,1,3
金领家族 1室1厅 北,36.0,6793,金领家族 ,井湾子,1室1厅,53平米,北,精装,高楼层(共28层),高,28,板塔结合,2010年,https://cs.lianjia.com/ershoufang/104116420915.html,53.0,28.0,1.0,1.0,36.0,0.018867924528301886,0,2.0,2,0
房东诚心卖，户型周正，采光好，价格可谈,76.0,8427,才子佳苑二区2 ,四方坪,3室2厅,90.19平米,南,精装,低楼层(共30层),低,30,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115567752.html,90.19,30.0,3.0,2.0,25.333333333333332,0.03326311120966848,0,0.0,2,3
梅溪湖板块，近桃花岭，周南旁，温馨三居室，诚意出售,120.0,11083,卓越浅水湾 ,梅溪湖南岸,3室1厅,108.28平米,南 北,简装,低楼层(共33层),低,33,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104116395144.html,108.28,33.0,3.0,1.0,40.0,0.027705947543405985,1,0.0,1,4
南北通透格局，采光视野好，无遮挡,82.0,8193,锦湘国际星城二期 ,尚东,3室1厅,100.09平米,南 北,其他,低楼层(共18层),低,18,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104116428741.html,100.09,18.0,3.0,1.0,27.333333333333332,0.029973024278149664,1,0.0,1,4
旭辉御府 3室2厅 东南,98.0,10619,旭辉御府 ,梅溪湖北岸,3室2厅,92.29平米,东南,精装,低楼层(共33层),低,33,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104116412872.html,92.29,33.0,3.0,2.0,32.666666666666664,0.032506230360819156,0,0.0,2,3
运达拎包入住，大三房大阳台采光好，中间楼栋，很安静,147.8,11126,运达锦绣广场 ,中南汽车世界,3室2厅,132.85平米,南,精装,低楼层(共33层),低,33,板楼,2021年,https://cs.lianjia.com/ershoufang/104115580291.html,132.85,33.0,3.0,2.0,49.26666666666667,0.022581859239744075,0,0.0,2,3
丽景华庭北区一楼南北通透的两房,36.0,4012,丽景华庭 ,望城区,2室1厅,89.74平米,南 北,简装,低楼层(共6层) ,低,6,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116381995.html,89.74,6.0,2.0,1.0,18.0,0.022286605749944285,1,0.0,1,0
新上房源，此房满五唯一，楼层视野好，依山傍水,80.0,8098,天元涉外景园 ,枫林三路,3室2厅,98.79平米,南,简装,高楼层(共32层),高,32,塔楼,2013年,https://cs.lianjia.com/ershoufang/104116198635.html,98.79,32.0,3.0,2.0,26.666666666666668,0.030367446097783173,0,2.0,1,1
次新小区+南北通透双阳台+中间楼层+视野好,125.0,9812,长房云尚公馆 ,麓谷西,4室2厅,127.4平米,南 北,精装,高楼层(共33层) ,高,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115621272.html,127.4,33.0,4.0,2.0,31.25,0.03139717425431711,1,2.0,2,4
江河东澜湾  位置好   交通方便,102.0,10564,江河东澜湾 ,武广新城,3室2厅,96.56平米,南 北,精装,低楼层(共31层),低,31,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115693603.html,96.56,31.0,3.0,2.0,34.0,0.031068765534382765,1,0.0,2,4
次新小区 振业城锦宸 好楼层 看小区园林 视野好 好房,169.0,13323,振业城锦宸 ,梅溪湖北岸,4室2厅,126.85平米,北 南,毛坯,低楼层(共33层),低,33,塔楼,2024年,https://cs.lianjia.com/ershoufang/104116132852.html,126.85,33.0,4.0,2.0,42.25,0.031533307055577456,0,0.0,0,2
次新小区，得房率高，轻奢风格，拎包入住，西站旁,95.0,11118,达美D6区 ,汽车西站,3室2厅,85.45平米,南,精装,中楼层(共32层),中,32,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115622950.html,85.45,32.0,3.0,2.0,31.666666666666668,0.03510825043885313,0,1.0,2,1
城铁口 路桥单位电梯住宅 精装2房 交通便利 配套齐全,62.0,6148,香河公寓 ,喜盈门,2室2厅,100.86平米,东 南,精装,低楼层(共18层),低,18,塔楼,2010年,https://cs.lianjia.com/ershoufang/104116171029.html,100.86,18.0,2.0,2.0,31.0,0.019829466587348802,0,0.0,2,3
6号线地铁口、附二单位宿舍、加装电梯、低分摊,72.8,7530,中南大学湘雅二医院大院 ,浏城桥,3室2厅,96.68平米,南,简装,中楼层(共6层) ,中,6,板楼,unknown,https://cs.lianjia.com/ershoufang/104116254053.html,96.68,6.0,3.0,2.0,24.266666666666666,0.03103020273065784,0,1.0,1,3
雨花汽车南站 三房2卫 婚房装修拎包入住 安静物业优,85.0,9002,卓越蔚蓝城邦 ,德思勤,3室2厅,94.43平米,南,精装,中楼层(共25层),中,25,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104115646066.html,94.43,25.0,3.0,2.0,28.333333333333332,0.031769564756962826,0,1.0,2,1
定王台天心阁公园省人医152.7平 电梯3房,98.0,6418,黄金之城 ,浏城桥,3室2厅,152.7平米,南 西,精装,中楼层(共31层) ,中,31,板楼,unknown,https://cs.lianjia.com/ershoufang/104116188425.html,152.7,31.0,3.0,2.0,32.666666666666664,0.01964636542239686,0,1.0,2,1
次新小区，近德思勤，户型好，青园梓枫可用,109.0,11218,麦芒国际 ,德思勤,3室2厅,97.17平米,南 北,精装,中楼层(共21层) ,中,21,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116293780.html,97.17,21.0,3.0,2.0,36.333333333333336,0.030873726458783574,1,1.0,2,4
阔境三房，成长型空间，阳光与清风自在流转,159.8,12552,嘉湘华庭 ,滨江新城,3室1厅,127.32平米,南,精装,31层,3,31,塔楼,2017年,https://cs.lianjia.com/ershoufang/104116294514.html,127.32,31.0,3.0,1.0,53.26666666666667,0.023562676720075403,0,,2,1
金地看湖两房、视野开阔、采光好、,46.0,6395,金地自在城 ,望城区,2室2厅,71.94平米,南,精装,中楼层(共32层) ,中,32,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115576550.html,71.94,32.0,2.0,2.0,23.0,0.027800945232137893,0,1.0,2,1
东南朝向采光好，中间楼层边户，业主诚心出售,95.0,11289,君悦香邸 ,北辰三角洲,2室1厅,84.16平米,西南,精装,中楼层(共33层),中,33,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104115510720.html,84.16,33.0,2.0,1.0,47.5,0.023764258555133082,0,1.0,2,0
地铁口，低密度社区，新交付高品质,87.0,8345,汉唐世家 ,雷锋镇,3室2厅,104.26平米,南 北,毛坯,中楼层(共17层) ,中,17,板楼,unknown,https://cs.lianjia.com/ershoufang/104114311319.html,104.26,17.0,3.0,2.0,29.0,0.02877421830040284,1,1.0,0,2
"二期小三房简装,可以拎包入住户型,看房方便",90.0,9593,湘熙水郡 ,洋湖垸,3室1厅,93.82平米,南,简装,低楼层(共27层),低,27,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115560754.html,93.82,27.0,3.0,1.0,30.0,0.031976124493711365,0,0.0,1,3
业主自住装修，中高楼层，视野采光好，可拎包入住在,75.0,7690,荣盛岳麓峰景 ,望城区,3室2厅,97.54平米,东南 南,精装,高楼层(共31层),高,31,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115567828.html,97.54,31.0,3.0,2.0,25.0,0.03075661267172442,0,2.0,2,1
农大北门23年小区户型周正近地铁,95.0,9048,新力菩悦星都汇 ,汽车东站,3室2厅,105平米,南,其他,中楼层(共29层) ,中,29,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115460147.html,105.0,29.0,3.0,2.0,31.666666666666668,0.02857142857142857,0,1.0,1,1
70年产权，住宅性质的，民水民电的，满五唯一无个税,25.0,5339,罗马国际公寓 ,枫林三路,1室1厅,46.83平米,南,精装,高楼层(共30层) ,高,30,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116419630.html,46.83,30.0,1.0,1.0,25.0,0.02135383301302584,0,2.0,2,0
谷山下 招商开发的次新小区 宜居低密度小高层 随时看,168.0,13163,招商雍山湖 ,河西人人乐,3室2厅,127.64平米,南 北,精装,低楼层(共18层) ,低,18,板楼,unknown,https://cs.lianjia.com/ershoufang/104116335517.html,127.64,18.0,3.0,2.0,56.0,0.023503603885929175,1,0.0,2,4
